Version: 0.10
SavedObjects: 78      

[[Weapon: 3]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 34
hitBonus: 25
baseDamage: 20
numDice: 1
diceMax: 10
enchantment: 0
hands: 0
effect: 4
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 2]]
name: bear
formatFlags: 16384
symbol: 66
position: 0, 0
color: 94, 75, 47
health: 66
maxHealth: 66
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @3
baseAC: 40
attackSkill: 0
defenseSkill: 0
walkingSpeed: 37
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 850
corpseName: bear corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 0
attitude: 2

[[Weapon: 5]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 32
hitBonus: 15
baseDamage: 12
numDice: 2
diceMax: 5
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 4]]
name: boar
formatFlags: 16384
symbol: 98
position: 0, 0
color: 191, 95, 0
health: 45
maxHealth: 45
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @5
baseAC: 50
attackSkill: 0
defenseSkill: 0
walkingSpeed: 32
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 550
corpseName: boar corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 0
attitude: 2

[[Weapon: 7]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 50
hitBonus: 20
baseDamage: 25
numDice: 4
diceMax: 5
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 6]]
name: carnivorous tree
formatFlags: 16384
symbol: 6
position: 0, 0
color: 48, 79, 53
health: 60
maxHealth: 60
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @7
baseAC: 0
attackSkill: 0
defenseSkill: 0
walkingSpeed: 500
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 520
corpseName: 
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 0
attitude: 2

[[Weapon: 9]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 20
hitBonus: 0
baseDamage: 2
numDice: 1
diceMax: 3
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 8]]
name: deer
formatFlags: 16384
symbol: 100
position: 0, 0
color: 127, 95, 63
health: 25
maxHealth: 25
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @9
baseAC: 0
attackSkill: 0
defenseSkill: 0
walkingSpeed: 13
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 90
corpseName: deer corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 100
attitude: 1

[[Weapon: 11]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 21
hitBonus: 0
baseDamage: 7
numDice: 1
diceMax: 3
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 10]]
name: goblin
formatFlags: 16384
symbol: 103
position: 0, 0
color: 0, 255, 0
health: 30
maxHealth: 30
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @11
baseAC: 15
attackSkill: 0
defenseSkill: 0
walkingSpeed: 20
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 300
corpseName: goblin corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: true
bUseRanged: true
bFleePerc: 0
attitude: 2

[[Weapon: 13]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 20
hitBonus: 0
baseDamage: 3
numDice: 1
diceMax: 2
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 12]]
name: kobold
formatFlags: 16384
symbol: 107
position: 0, 0
color: 255, 63, 207
health: 21
maxHealth: 21
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @13
baseAC: 0
attackSkill: 0
defenseSkill: 0
walkingSpeed: 14
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 200
corpseName: kobold corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: true
bUseRanged: true
bFleePerc: 25
attitude: 2

[[Weapon: 15]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 14
hitBonus: 0
baseDamage: 4
numDice: 1
diceMax: 3
enchantment: 0
hands: 0
effect: 3
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 14]]
name: rat
formatFlags: 32768
symbol: 114
position: 0, 0
color: 191, 191, 0
health: 13
maxHealth: 13
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @15
baseAC: 30
attackSkill: 0
defenseSkill: 0
walkingSpeed: 10
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 180
corpseName: rat corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 15
attitude: 2

[[Weapon: 17]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 30
hitBonus: 0
baseDamage: 6
numDice: 1
diceMax: 4
enchantment: 0
hands: 0
effect: 1
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 16]]
name: snake
formatFlags: 16384
symbol: 115
position: 0, 0
color: 95, 191, 0
health: 23
maxHealth: 23
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @17
baseAC: 0
attackSkill: 0
defenseSkill: 0
walkingSpeed: 12
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 420
corpseName: snake corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 0
attitude: 2

[[Weapon: 19]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 42
hitBonus: 0
baseDamage: 5
numDice: 2
diceMax: 4
enchantment: 0
hands: 0
effect: 0
range: 6
ammoType: 0
broken: -1

[[BasicMonster: 18]]
name: wisp
formatFlags: 65536
symbol: 87
position: 0, 0
color: 255, 255, 63
health: 25
maxHealth: 25
mana: 100
maxMana: 100
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @19
baseAC: 25
attackSkill: 0
defenseSkill: 0
walkingSpeed: 13
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 330
corpseName: 
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 0
attitude: 2

[[Weapon: 21]]
name: x
formatFlags: 0
symbol: 35
color: 255, 0, 127
amount: 1
weight: 0
active: false
speed: 20
hitBonus: 10
baseDamage: 8
numDice: 2
diceMax: 5
enchantment: 0
hands: 0
effect: 0
range: 1
ammoType: 0
broken: -1

[[BasicMonster: 20]]
name: wolf
formatFlags: 16384
symbol: 119
position: 0, 0
color: 127, 63, 0
health: 40
maxHealth: 40
mana: 0
maxMana: 0
controlled: false
quiver: 0
mainWeapon: 0
armor0: 0
armor1: 0
armor2: 0
baseWeapon: @21
baseAC: 25
attackSkill: 0
defenseSkill: 0
walkingSpeed: 18
lastTimeRegen: 0
lastTimeManaRegen: 0
expValue: 590
corpseName: wolf corpse
#inventory: 0
#spells: 0
#status: 0
lastSeenPlayer: -1, -1
bUseMelee: false
bUseRanged: false
bFleePerc: 20
attitude: 2

[[Food: 22]]
name: apple
formatFlags: 65552
symbol: 37
color: 0, 255, 0
amount: 1
weight: 1
active: false
nutrition: 1000
eatTime: 15

[[Ammo: 23]]
name: arrow
formatFlags: 65536
symbol: 47
color: 0, 255, 255
amount: 5
weight: 1
active: false
enchantment: 0
effect: 0
ammoType: 1

[[Weapon: 24]]
name: axe
formatFlags: 65536
symbol: 40
color: 127, 127, 127
amount: 1
weight: 60
active: false
speed: 20
hitBonus: 18
baseDamage: 18
numDice: 2
diceMax: 10
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Armor: 25]]
name: bandana
formatFlags: 65536
symbol: 41
color: 255, 0, 0
amount: 1
weight: 4
active: false
defense: 1
hindrance: 0
slot: 2
enchantment: 1

[[Corpse: 26]]
name: bear corpse
formatFlags: 65536
symbol: 37
color: 100, 70, 40
amount: 1
weight: 250
active: false
nutrition: 2400
eatTime: 110
rotTime: 2000

[[Food: 27]]
name: berry
formatFlags: 65536
symbol: 37
color: 143, 0, 191
amount: 1
weight: 1
active: false
nutrition: 1000
eatTime: 15

[[Corpse: 28]]
name: boar corpse
formatFlags: 65536
symbol: 37
color: 255, 127, 0
amount: 1
weight: 175
active: false
nutrition: 2200
eatTime: 100
rotTime: 2000

[[Ammo: 29]]
name: bolt
formatFlags: 65536
symbol: 47
color: 0, 0, 255
amount: 5
weight: 1
active: false
enchantment: 0
effect: 0
ammoType: 2

[[Food: 30]]
name: loaf of bread
formatFlags: 65536
symbol: 37
color: 127, 95, 63
amount: 1
weight: 6
active: false
nutrition: 2000
eatTime: 70

[[Ammo: 31]]
name: bullet
formatFlags: 65536
symbol: 47
color: 63, 63, 255
amount: 5
weight: 1
active: false
enchantment: 0
effect: 0
ammoType: 3

[[Armor: 32]]
name: chainmail
formatFlags: 65536
symbol: 41
color: 159, 159, 159
amount: 1
weight: 40
active: false
defense: 15
hindrance: 3
slot: 0
enchantment: 0

[[Weapon: 33]]
name: club
formatFlags: 65536
symbol: 40
color: 127, 95, 63
amount: 1
weight: 40
active: false
speed: 20
hitBonus: 15
baseDamage: 10
numDice: 1
diceMax: 10
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Armor: 34]]
name: cooking pot
formatFlags: 65536
symbol: 41
color: 127, 127, 127
amount: 1
weight: 30
active: false
defense: 2
